Domestic Exports | Annual + Year-To-Date Data from Jan - Sep,,,,,,,,
Data Row Count,291,,,,,,,
Data Type,Country,HTS Number,Description,Year 2021,Year 2022,Year 2023,2023 YTD ( Jan - Sep ),2024 YTD ( Jan - Sep )
FAS Value,Canada,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,"19,103,206","18,803,229","20,031,671","14,831,746","13,276,828"
FAS Value,Canada,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF","5,598,135,038","7,595,111,740","7,276,321,173","5,526,038,066","4,800,001,155"
FAS Value,Mexico,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES SUITABLE FOR INDUSTRIAL USE","755,893,344","807,143,266","742,071,269","572,468,537","532,008,392"
FAS Value,Canada,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,"91,146,741","99,756,600","88,447,292","66,168,933","63,525,738"
FAS Value,Mexico,40,RUBBER AND ARTICLES THEREOF,"2,844,471,880","3,346,113,157","3,627,486,984","2,757,533,266","2,633,055,603"
FAS Value,Canada,32,"TANNING OR DYEING EXTRACTS; TANNINS AND DERIVATIVES; DYES, PIGMENTS AND OTHER COLORING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS","2,078,733,933","2,370,161,413","2,237,513,013","1,738,442,453","1,708,577,499"
FAS Value,Canada,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS, OR OTHER PARTS OF PLANTS","1,560,735,788","1,672,927,924","1,688,831,056","1,260,686,293","1,355,074,634"
FAS Value,Mexico,02,MEAT AND EDIBLE MEAT OFFAL,"3,656,358,997","3,818,005,071","4,277,494,658","3,097,576,014","3,586,488,747"
FAS Value,Canada,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES SUITABLE FOR INDUSTRIAL USE","277,469,989","303,488,962","285,901,557","216,783,376","214,665,708"
FAS Value,Canada,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; BAKERS' WARES","2,665,180,130","3,102,160,880","3,262,958,743","2,439,318,747","2,443,322,120"
FAS Value,Canada,22,"BEVERAGES, SPIRITS AND VINEGAR","2,637,285,421","3,176,158,991","3,385,742,355","2,605,323,421","2,367,310,738"
FAS Value,Mexico,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,"248,533,954","235,430,826","228,057,859","182,116,830","105,816,913"
FAS Value,China,49,"PRINTED BOOKS, NEWSPAPERS, PICTURES AND OTHER PRINTED PRODUCTS; MANUSCRIPTS, TYPESCRIPTS AND PLANS","118,780,257","153,578,053","153,136,043","113,462,127","127,352,189"
FAS Value,Mexico,60,KNITTED OR CROCHETED FABRICS,"279,601,084","313,416,085","267,814,365","206,219,029","180,053,626"
FAS Value,Canada,43,FURSKINS AND ARTIFICIAL FUR; MANUFACTURES THEREOF,"7,861,522","5,426,410","4,568,124","3,884,061","3,090,749"
FAS Value,Mexico,46,"MANUFACTURES OF STRAW, ESPARTO OR OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK","5,589,516","1,295,066","4,020,011","3,432,799","2,367,580"
FAS Value,China,95,"TOYS, GAMES AND SPORTS EQUIPMENT; PARTS AND ACCESSORIES THEREOF","96,595,829","111,939,655","105,793,450","81,645,902","64,161,751"
FAS Value,China,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF","8,574,289,881","8,727,542,687","8,961,233,732","6,408,573,891","6,483,134,715"
FAS Value,Canada,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF","5,834,087,862","6,343,408,624","6,729,144,903","5,064,819,257","5,170,936,917"
FAS Value,China,97,"WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES","123,564,626","155,574,363","96,613,676","44,580,690","44,727,073"
