Imports For Consumption | Annual + Year-To-Date Data from Jan - Sep,,,,,,,,
Data Row Count,294,,,,,,,
Data Type,Country,HTS Number,Description,Year 2021,Year 2022,Year 2023,2023 YTD ( Jan - Sep ),2024 YTD ( Jan - Sep )
Customs Value,Mexico,42,"ARTICLES OF LEATHER; SADDLERY AND HARNESS; TRAVEL GOODS, HANDBAGS AND SIMILAR CONTAINERS; ARTICLES  OF GUT (OTHER THAN SILKWORM GUT)","245,335,980","333,634,591","351,089,280","266,922,553","204,856,305"
Customs Value,Mexico,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION RECORDERS AND REPRODUCERS, PARTS AND ACCESSORIES","69,368,611,601","78,121,638,492","84,678,590,478","63,877,232,286","65,158,081,109"
Customs Value,Mexico,32,"TANNING OR DYEING EXTRACTS; TANNINS AND DERIVATIVES; DYES, PIGMENTS AND OTHER COLORING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS","316,920,111","426,631,119","454,390,147","354,546,061","336,212,447"
Customs Value,Mexico,91,CLOCKS AND WATCHES AND PARTS THEREOF,"39,502,468","41,489,901","40,571,543","31,009,152","31,456,170"
Customs Value,Canada,82,"TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL","427,105,503","425,764,575","378,944,958","281,978,603","286,494,754"
Customs Value,Mexico,99,"SPECIAL IMPORT REPORTING PROVISIONS, NESOI","2,713,088,642","2,828,610,534","2,934,561,649","2,216,637,628","2,108,666,370"
Customs Value,China,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS,"306,103,995","349,130,224","324,262,162","235,435,061","288,444,893"
Customs Value,Mexico,09,"COFFEE, TEA, MATE AND SPICES","383,068,389","573,527,089","505,730,037","402,043,157","393,985,817"
Customs Value,Mexico,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,"127,251,021","134,751,531","107,134,907","85,307,865","87,976,174"
Customs Value,China,42,"ARTICLES OF LEATHER; SADDLERY AND HARNESS; TRAVEL GOODS, HANDBAGS AND SIMILAR CONTAINERS; ARTICLES  OF GUT (OTHER THAN SILKWORM GUT)","3,486,822,519","3,976,565,189","3,061,996,965","2,351,487,500","2,277,418,011"
Customs Value,Canada,65,HEADGEAR AND PARTS THEREOF,"32,145,410","33,370,180","29,383,404","20,408,706","19,915,383"
Customs Value,Mexico,18,COCOA AND COCOA PREPARATIONS,"523,162,978","624,613,848","612,037,656","448,852,583","543,987,602"
